tweet_id,tweet_created,latitude,longitude,category,text,is_cluster
a584a780-8b41-413c,2023-10-24 07:00:00,8.976608,-79.539962,no_incidentes,Mi vida es un accidente constante. #Panama,0
28059d7a-76ab-46cf,2023-10-24 07:00:00,9.007908,-79.551789,trafico,Fila interminable para entrar a Betania....,0
97da0d45-7825-4041,2023-10-24 07:00:00,8.962342,-79.513221,trafico,Congestión total hacia Bella Vista.,0
787ebfd3-c823-47af,2023-10-24 07:00:00,8.980505,-79.514617,trafico,Llevo 20 minutos sin moverme en San Francisco.,0
ea298d72-b539-41d9,2023-10-24 07:00:00,8.961806,-79.532551,trafico,"Colapso vial en Bella Vista, busquen alternas.!",0
f23a332f-77f5-489b,2023-10-24 07:00:00,9.00231,-79.528932,no_incidentes,Increíble el atardecer hoy en San Francisco....,0
a8693dbe-b0fc-478c,2023-10-24 07:00:00,9.04293,-79.520293,trafico,El tranque en San Miguelito no es normal hoy. #Panama,0
c7eb712d-8f02-4ea5,2023-10-24 07:00:00,8.987256,-79.545947,obstaculo,"Objeto extraño en la vía por Bella Vista, cuidado....",0
b664ed73-f6b9-4fe1,2023-10-24 07:00:00,8.973877,-79.536381,trafico,"Colapso vial en Bella Vista, busquen alternas.!",0
d38aa87d-7bf4-4438,2023-10-24 07:00:00,9.080671,-79.374627,accidente,"Están levantando el accidente de Tocumen, todavía hay vidrios. 😡",0
fd3a4c33-7860-4dcc,2023-10-24 07:00:00,8.973193,-79.542073,trafico,El tranque en Bella Vista no es normal hoy.!,0
e926b460-197a-4f49,2023-10-24 07:00:00,9.06615,-79.389841,trafico,Congestión total hacia Tocumen.!,0
b8d8d1ba-b09a-447c,2023-10-24 07:00:00,9.017501,-79.533448,trafico,El tranque en Betania no es normal hoy.!,0
fd5183da-64d1-42fd,2023-10-24 07:00:00,8.984613,-79.506163,obstaculo,Hay un hueco enorme rompiendo llantas en San Francisco. 😡,0
584e74b1-644a-44e5,2023-10-24 07:00:00,8.995173,-79.514975,no_incidentes,Increíble el atardecer hoy en San Francisco. #Panama,0
1ed88c44-49f5-47e3,2023-10-24 07:00:00,8.966389,-79.555513,accidente,"Motorizado en el piso, ambulancia llegando a Ancón. 😡",0
be8e5904-2c48-4619,2023-10-24 07:00:00,9.021095,-79.523168,trafico,Waze marca todo rojo saliendo de Betania....,0
740f0a71-2a39-4d78,2023-10-24 07:00:00,8.989177,-79.505044,trafico,"Colapso vial en San Francisco, busquen alternas.!",0
fea7bd02-61a3-4320,2023-10-24 07:00:00,8.9578,-79.552214,no_incidentes,¿Alguien sabe si hay paso por Ancón? 😡,0
74c25a1c-b4ab-420d,2023-10-24 07:00:00,9.066474,-79.387374,trafico,Congestión total hacia Tocumen. 😡,0
967ffc94-d834-46c9,2023-10-24 07:00:00,9.022677,-79.510388,accidente,"Motorizado en el piso, ambulancia llegando a San Miguelito.!",0
09f68be8-8ec6-4c8b,2023-10-24 07:00:00,8.987027,-79.509379,accidente,Parece que hubo heridos en el choque de San Francisco.!,0
e3d33de7-c7b2-41f3,2023-10-24 07:00:00,8.970019,-79.529232,accidente,Parece que hubo heridos en el choque de Bella Vista.!,0
3fb037f7-ff91-4714,2023-10-24 07:00:00,8.963351,-79.568097,accidente,"Motorizado en el piso, ambulancia llegando a Ancón.!",0
9280b310-daa0-40dc,2023-10-24 07:00:00,9.020898,-79.527312,accidente,"Motorizado en el piso, ambulancia llegando a Betania. 😡",0
1db08dee-c0e4-40eb,2023-10-24 07:00:00,9.029788,-79.511671,trafico,Congestión total hacia San Miguelito. 🚑,0
03a232ae-3c3a-43d7,2023-10-24 07:00:00,8.991546,-79.508718,accidente,Acabo de ver un choque múltiple por San Francisco.,0
