tweet_id,tweet_created,latitude,longitude,category,text,is_cluster
a074ed6d-0487-40,2025-11-20 17:00:00,-2.195184,-79.888862,no_incidentes,"Saliendo del estadio en Centro, ganamos!!! #Guayaquil",0
c7853313-8f19-4c,2025-11-20 17:00:00,-2.175869,-79.910611,trafico,Taponamiento total en la entrada a Urdesa. .,0
7a2a642d-ca2b-41,2025-11-20 17:00:00,-2.227696,-79.899738,no_incidentes,"Ojo: Comprando agua en el semáforo de Sur (Pradera), todo tranquilo. @ATM_Transito",0
79f01cc3-8422-4a,2025-11-20 17:00:00,-2.168362,-79.995558,obstaculo,Usuarios informan: Bus de la Metrovía dañado bloqueando carril en Via a la Costa. 😡,0
b59c455c-e053-4d,2025-11-20 17:00:00,-2.238214,-79.902051,obstaculo,"Alerta 🚨 Semáforo apagado en Sur (Pradera), es un caos, manden vigilantes. #Guayaquil",0
ccbef998-7c97-4d,2025-11-20 17:00:00,-2.155543,-79.905312,no_incidentes,"Ojo: Comprando agua en el semáforo de Alborada, todo tranquilo.",0
738ee04f-245b-44,2025-11-20 17:00:00,-2.162723,-79.900641,trafico,"Usuarios informan: Colapsada la vía en Kennedy, no se mueve nada. 😡",0
23faca3d-1641-47,2025-11-20 17:00:00,-2.174545,-79.908453,accidente,"Motorizado accidentado en Urdesa, ya está la ambulancia. #TránsitoGye",0
5cca9561-bd70-4e,2025-11-20 17:00:00,-2.173032,-79.908586,obstaculo,Bus de la Metrovía dañado bloqueando carril en Urdesa. #Guayaquil,0
ef2f7948-6edc-4b,2025-11-20 17:00:00,-2.153575,-79.898072,trafico,"Filas interminables en Alborada, parece que el semáforo no sirve. #TránsitoGye",0
48b04d4a-0c68-4f,2025-11-20 17:00:00,-2.171611,-79.996718,trafico,"Llevo media hora parado en Via a la Costa, avancen!!! pilas.",0
b700cfe5-65ac-47,2025-11-20 17:00:00,-2.19389,-79.893002,accidente,¡Qué bestia! Cómo se trepó ese carro al parterre en Centro. #TránsitoGye,0
f2f9452c-9246-4a,2025-11-20 17:00:00,-2.142062,-79.912583,accidente,"Ojo: Motorizado accidentado en Alborada, ya está la ambulancia.",0
21cf6225-8c56-45,2025-11-20 17:00:00,-2.174675,-79.995768,no_incidentes,"Alerta 🚨 Mucha gente reunida en Via a la Costa por el desfile, buen ambiente. 🚗",0
507f25b9-7c0d-43,2025-11-20 17:00:00,-2.148402,-79.902582,accidente,Usuarios informan: ¡Qué bestia! Cómo se trepó ese carro al parterre en Alborada. pilas.,0
f0fc209d-821d-4a,2025-11-20 17:00:00,-2.142518,-79.901222,trafico,"Alerta 🚨 La Alborada está imposible a esta hora, eviten. #TránsitoGye",0
3a5c2ad3-70e2-46,2025-11-20 17:00:00,-2.171627,-79.915138,trafico,Alerta 🚨 Congestión vehicular alta por salida de oficinas en Urdesa. #TránsitoGye,0
94b607a9-6834-4c,2025-11-20 17:00:00,-2.224426,-79.902608,accidente,Alerta 🚨 Se acaban de dar duro dos carros en la principal de Sur (Pradera). .,0
f8152732-fd52-4e,2025-11-20 17:00:00,-2.169437,-79.995131,obstaculo,Usuarios informan: Hay un hueco cráter en Via a la Costa que me reventó la llanta.,0
dac05cbd-f9a4-49,2025-11-20 17:00:00,-2.192766,-79.891252,trafico,Reportan: Tráfico pesado en Centro sentido norte-sur. @ATM_Transito,0
000468d7-b15a-44,2025-11-20 17:00:00,-2.173423,-79.911658,no_incidentes,"Reportan: Mucha gente reunida en Urdesa por el desfile, buen ambiente. pilas.",0
c64848c6-2f4a-42,2025-11-20 17:00:00,-2.174419,-79.993941,obstaculo,"Semáforo apagado en Via a la Costa, es un caos, manden vigilantes. 🚗",0
6a321d3a-b2a0-48,2025-11-20 17:00:00,-2.237623,-79.906217,accidente,Usuarios informan: Se acaban de dar duro dos carros en la principal de Sur (Pradera). #TránsitoGye,0
516f5813-121a-46,2025-11-20 17:00:00,-2.168476,-79.911994,trafico,"Ojo: Llevo media hora parado en Urdesa, avancen!!! #Guayaquil",0
81ab1aa6-ed6a-46,2025-11-20 17:00:00,-2.140741,-79.869829,no_incidentes,"Alerta 🚨 Comprando agua en el semáforo de Samborondon, todo tranquilo. pilas.",0
af3efc7b-5f22-47,2025-11-20 17:00:00,-2.14261,-79.89967,no_incidentes,"Reportan: Ojalá no haya **accidente** hoy, quiero llegar a casa. @ATM_Transito",0
50437061-feac-48,2025-11-20 17:00:00,-2.22794,-79.899617,no_incidentes,"Alerta 🚨 Increíble el concierto aquí en Sur (Pradera), está llenísimo. 😡",0
227b01c8-f50e-4f,2025-11-20 17:00:00,-2.143584,-79.962902,obstaculo,Hay un hueco cráter en Perimetral que me reventó la llanta. #Guayaquil,0
a1fde757-eb65-40,2025-11-20 17:00:00,-2.146094,-79.908134,no_incidentes,"Saliendo del estadio en Alborada, ganamos!!! pilas.",0
89527b8e-e81b-4c,2025-11-20 17:00:00,-2.138137,-79.865603,no_incidentes,"Usuarios informan: Ojalá no haya **accidente** hoy, quiero llegar a casa. #Guayaquil",0
115f5c4f-2be8-45,2025-11-20 17:00:00,-2.238665,-79.90151,obstaculo,"Reportan: Trabajos en la vía en Sur (Pradera) sin señalización, peligroso. #TránsitoGye",0
3909165c-4cc5-4d,2025-11-20 17:00:00,-2.139021,-79.868064,accidente,¡Qué bestia! Cómo se trepó ese carro al parterre en Samborondon. 🚗,0
dc2a0420-68c6-4e,2025-11-20 17:00:00,-2.150939,-79.952076,trafico,Tráfico pesado en Perimetral sentido norte-sur. pilas.,0
c9eb02f2-916d-48,2025-11-20 17:00:00,-2.190984,-79.888495,accidente,"Usuarios informan: Motorizado accidentado en Centro, ya está la ambulancia. pilas.",0
e887ec3b-81f3-4a,2025-11-20 17:00:00,-2.168905,-80.0017,trafico,"Usuarios informan: Filas interminables en Via a la Costa, parece que el semáforo no sirve. pilas.",0
c65f381b-46c6-46,2025-11-20 17:00:00,-2.172831,-79.912831,accidente,"Ojo: Siniestro de tránsito en Urdesa, unidades de la ATM avanzan. pilas.",0
dcb23871-2822-41,2025-11-20 17:00:00,-2.150925,-79.964992,trafico,"Filas interminables en Perimetral, parece que el semáforo no sirve. pilas.",0
f394f05a-54ad-41,2025-11-20 17:00:00,-2.164734,-79.899905,obstaculo,"Ojo: Árbol caído por la lluvia en Kennedy, cuidado. @ATM_Transito",0
b12d822c-e43d-4a,2025-11-20 17:00:00,-2.138419,-79.868027,trafico,Reportan: Taponamiento total en la entrada a Samborondon.,0
cbf683f2-1c53-47,2025-11-20 17:00:00,-2.140432,-79.864601,accidente,"Reportan: Siniestro de tránsito en Samborondon, unidades de la ATM avanzan. 🚗",0
c2dce63c-7124-4a,2025-11-20 17:00:00,-2.15082,-79.907393,obstaculo,"Usuarios informan: Árbol caído por la lluvia en Alborada, cuidado.",0
4cb8412d-ad60-4f,2025-11-20 17:00:00,-2.196409,-79.88646,obstaculo,Bus de la Metrovía dañado bloqueando carril en Centro. .,0
86cb2549-0b90-44,2025-11-20 17:00:00,-2.166205,-80.005821,no_incidentes,Usuarios informan: Que calor insoportable hace hoy en Via a la Costa. .,0
3b0cf239-be79-49,2025-11-20 17:00:00,-2.227479,-79.895029,obstaculo,Hay un hueco cráter en Sur (Pradera) que me reventó la llanta.,0
c0c978b8-dac7-43,2025-11-20 17:00:00,-2.165646,-79.901198,obstaculo,"Reportan: Árbol caído por la lluvia en Kennedy, cuidado. 🚗",0
66700770-8043-4d,2025-11-20 17:00:00,-2.146941,-79.902435,trafico,Reportan: Tráfico pesado en Alborada sentido norte-sur. pilas.,0
496dc566-465a-41,2025-11-20 17:00:00,-2.139528,-79.86293,no_incidentes,"Usuarios informan: Feria de comida en Samborondon, recomendado visitar.",0
9902c8c8-8a0e-48,2025-11-20 17:00:00,-2.162202,-79.897782,accidente,Usuarios informan: ¡Qué bestia! Cómo se trepó ese carro al parterre en Kennedy. .,0
bf7a9ad8-7748-4d,2025-11-20 17:00:00,-2.175078,-79.909042,no_incidentes,"Alerta 🚨 Increíble el concierto aquí en Urdesa, está llenísimo. 😡",0
2c64f73d-610e-49,2025-11-20 17:00:00,-2.146604,-79.899295,obstaculo,Hay un hueco cráter en Alborada que me reventó la llanta. 😡,0
f2704084-c782-48,2025-11-20 17:01:00,-2.137948,-79.867546,no_incidentes,"Usuarios informan: Increíble el concierto aquí en Samborondon, está llenísimo. @ATM_Transito",0
00e62e02-abf1-40,2025-11-20 17:01:00,-2.139466,-79.867002,obstaculo,Reportan: Bus de la Metrovía dañado bloqueando carril en Samborondon.,0
443a194e-11c0-46,2025-11-20 17:01:00,-2.189554,-79.889728,no_incidentes,Alerta 🚨 ¿Alguien sabe si hay operativo de la ATM en Centro? #TránsitoGye,0
24ead591-dcae-4c,2025-11-20 17:01:00,-2.145584,-79.906411,obstaculo,Usuarios informan: Carro botado por desperfecto mecánico en Alborada. #Guayaquil,0
764c1423-f6f5-48,2025-11-20 17:01:00,-2.176705,-79.996649,accidente,Alerta 🚨 Reportan accidente múltiple bajando el puente de Via a la Costa. #TránsitoGye,0
97e65f27-e742-4f,2025-11-20 17:01:00,-2.170777,-79.998668,no_incidentes,Usuarios informan: ¿Alguien sabe si hay operativo de la ATM en Via a la Costa? 😡,0
b08c955c-4855-41,2025-11-20 17:01:00,-2.229968,-79.905803,no_incidentes,Alerta 🚨 ¿Alguien sabe si hay operativo de la ATM en Sur (Pradera)? #TránsitoGye,0
fa9f7c36-c4e7-41,2025-11-20 17:01:00,-2.165108,-80.000228,trafico,"Alerta 🚨 La Via a la Costa está imposible a esta hora, eviten. .",0
82768e6b-36bb-42,2025-11-20 17:01:00,-2.165233,-79.903922,obstaculo,Carro botado por desperfecto mecánico en Kennedy. #Guayaquil,0
